,atom_seq2,dots-angle,planes-angle,dot_distance1,dot_distance2,dot_distance3
271,c10CCC,114.23998980532718,175.12090842949328,1.5268595220255194,2.5703890756070398,3.8713950973776883
270,c9c10CC,107.8616887054703,175.95509239047723,1.5338187637397103,2.4732569619835325,3.8109447647532337
943,CCCC,112.3372961332761,168.54097405393753,1.528823076748911,2.542341440483557,3.927009039969223
97,CCCO,112.00767691855258,147.15275369358724,1.3577186748365815,2.3948486382233045,3.6202071763919808
87,CCCc9,115.46576335285991,164.18907482854544,1.5305881222588915,2.5842020044880396,3.918226639693014
98,CCOH,97.49418091392334,174.78752884398088,0.9978476837674161,1.7867568385205637,3.1663859524701037
88,CCc9c10,120.2594978757461,161.4149833059772,1.384304879714003,2.5287150887357805,3.8427854480832004
89,Cc9c10C,122.29769901624137,2.6026803073744063,1.5301633899685345,2.5536836139193113,2.9739199720234586
91,c10CCC,108.81303121547217,170.72248475655283,1.5239750654128192,2.4821966078455633,3.8819969088086643
90,c9c10CC,115.090276406037,175.6666666858762,1.5285287043428406,2.580968810350098,3.876918879729108
55,CCCC,105.25369024172677,177.06347623074538,1.5255818562109305,2.4278797334299846,3.8065863972856304
497,CCCO,108.91486387501183,147.02858339359364,1.3621673905948575,2.354017841903499,3.638145131794498
487,CCCc9,114.7051533295883,161.41550628273006,1.534470592745265,2.5776345745663765,3.899987179466105
498,CCOH,112.27689130664304,7.54333902731312,1.0015987220439126,1.9730940170199678,2.301781918427546
488,CCc9c10,128.6405222693368,177.0755613152252,1.3871193171461524,2.633799536790912,3.9158268603195414
489,Cc9c10C,121.87642009035113,3.608507224782559,1.5295097253695367,2.550352916754855,3.1555823551287645
491,c10CCC,110.36143269974146,177.4395084385195,1.5310780515701974,2.5072096043211065,3.8463099199102473
490,c9c10CC,108.66850534970095,170.10177972416884,1.522924817579649,2.4798991914995243,3.791754211443565
105,CCCC,120.22621372960684,61.80399282252085,1.5329057374802932,2.6545809462135463,3.171072373819307
697,CCCO,110.88034333463676,142.73679180533998,1.3556548233234005,2.3804831442377403,3.597290647139877
687,CCCc9,110.57058915995056,175.24882267086835,1.5342750731208523,2.5151739502467807,3.9053809033178823
698,CCOH,103.90559408955065,177.12773580520127,0.9908077512817491,1.8614779074702983,3.2100778806751697
688,CCc9c10,117.39613034710176,160.21353048021257,1.3867227552759107,2.4969981978367555,3.768355078810917
689,Cc9c10C,124.3769112093561,4.457060200125477,1.5313066316058317,2.5818404288414114,2.9607262622539037
691,c10CCC,103.10965136847211,171.03808164256034,1.5272851731094654,2.3908366736354023,3.811902412182135
690,c9c10CC,114.45867872965727,175.7219201459524,1.5253524182955243,2.5701750913118695,3.8839670441444274
702,CCCC,110.63877342364991,178.05486194777015,1.5274161188097988,2.5157305102097074,3.837824904812622
